,X,Y,Year,Topic
0,2.673142503967089,-1.9317005597601558,1987,5
1,-2.1676334135938884,9.29423999430051,1987,1
2,-0.9451695086286562,3.8532996904323857,1987,1
3,-3.231772967032837,11.287356892290072,1987,0
4,-1.0921267651497717,6.978097583749605,1987,1
5,7.26439520986693,1.8735844278455054,1987,3
6,10.81938578323584,-0.3257268027966509,1987,5
7,5.32229316583733,-9.218528589372099,1987,3
8,-1.6696386429254042,-0.8443302135656349,1987,1
9,7.543297308023044,1.808393002681693,1987,3
10,-1.5740119152114416,7.7589329437943935,1987,1
11,6.983440197482941,3.558008437562555,1987,3
12,-1.9978985953211086,6.194212475405148,1987,1
13,-0.9834512504651806,-1.5173549013354612,1987,1
14,4.5761884773736305,-9.552328343224161,1987,3
15,-1.5078579410281672,-11.789321638681942,1987,1
16,3.207616973093955,-2.571985514565293,1987,5
17,4.375792078817343,-9.208585458880762,1987,3
18,-3.2940377000859904,9.435886318274493,1987,1
19,0.10514008718219146,5.24297319253379,1987,3
20,-3.2647588959530935,7.793588183707636,1987,1
21,-0.5429461578463479,5.432235975467688,1987,3
22,-6.583495063252274,-10.41709691761335,1987,3
23,-7.752065595314643,-8.843630865963021,1987,3
24,2.588580341288148,-1.4251614416908704,1987,5
25,-7.04876289369634,6.550008218922362,1987,8
26,-0.6519316163422937,5.494175819951138,1987,3
27,6.35864001480814,4.609912883145851,1987,6
28,-1.3531865574233142,6.121557914316699,1987,3
29,-1.6242027049245698,-11.73031839961721,1987,1
30,9.06850064289916,0.725726344744894,1987,3
31,-6.562386086369441,-10.495447615372044,1987,3
32,-2.8127207829429506,2.8711443376107963,1987,2
33,4.8456184559909445,-9.622241802848382,1987,3
34,-1.5187775353950486,5.731913496802778,1987,9
35,-3.5070314622291305,9.905925381433624,1987,1
36,-0.7922992471620218,5.731157136975465,1987,1
37,-8.072005649937934,-8.2081475103862,1987,3
38,-2.2686351682112558,6.99215575654201,1987,1
39,-0.5097765293306172,5.462990754610929,1987,3
40,-3.1595606086000823,8.394964936010357,1987,1
41,-1.1725047021091184,-0.9127584356530173,1987,1
42,8.712435394349255,1.1260242786295318,1987,3
43,-2.827263018325811,8.384213661853734,1987,1
44,-1.5158623004811649,-11.581578612641394,1987,1
45,0.8141637492112216,4.847680578464294,1987,3
46,-4.737660713391314,-2.1889904881080025,1987,8
47,-1.3983011110244954,-1.770559330297127,1987,1
48,10.929441610913532,0.0023130291169542,1987,5
49,-1.61258027470128,7.740164814830455,1987,1
50,-1.557389362872964,-11.817991478145835,1987,1
51,-2.8294492868475367,7.68392026355451,1987,1
52,-1.940834561405273,7.474491483012886,1987,1
53,7.353656948625472,-8.159099555861156,1987,3
54,10.68796633537757,0.6736249752917516,1987,3
55,-2.0027522069853045,8.47961593618936,1987,1
56,-1.4102439242526017,-0.6751767932936138,1987,1
57,5.892762307705161,1.891853114994951,1987,3
58,5.367452195284718,-9.279732352496435,1987,3
59,6.8319814430671295,2.0386515182345426,1987,3
60,7.132613430943704,1.9823955937219013,1987,3
61,-1.8471096648413363,6.074391809331777,1987,1
62,-3.831268203271681,8.569346338568561,1987,1
63,-3.0357150645187296,8.539125612698905,1987,1
64,-1.7411768779424057,-1.2025792230519015,1987,1
65,8.539467083309777,1.5585033134674422,1987,3
66,-0.5051056796445651,3.686077001717009,1987,9
67,-1.2886253451930207,4.206562560946255,1987,1
68,9.363790620333296,2.7374599270044846,1987,5
69,-3.6334407069195622,7.5790970280122885,1987,1
70,-1.7892615947192243,8.862702285186135,1987,3
71,-0.5254372320993698,3.663389680063761,1987,9
72,-4.175830823456667,7.545228674334655,1987,1
73,-0.7370875224997947,4.0771748018731,1987,1
74,-1.6226530213269035,5.650968491569062,1987,1
75,-1.1445503386213587,-1.3408584126085994,1987,1
76,-1.4459989635247745,-1.9507339204817298,1987,1
77,-0.7651721085696417,5.506295260225106,1987,3
78,5.344448450363828,-5.792600815702519,1987,5
79,-8.498392337792447,-8.03102068019843,1987,3
80,-1.4468544519318627,-11.709880323387829,1987,1
81,8.715434976417674,1.8733490825645338,1987,3
82,-5.79676026133945,8.314669351151231,1987,1
83,9.410558444094734,2.7809127291237843,1987,5
84,-0.8882396700605697,5.903663403779943,1987,3
85,-5.3934405272110695,6.3793325914930055,1987,1
86,-0.9549390327992838,4.714063386774826,1987,1
87,-2.3066315418955208,6.793859834239268,1987,1
88,-2.084070805106028,8.69607979477379,1987,1
89,-1.591652990410016,3.6457764244201676,1987,1
90,9.487960149330942,0.41159282928564217,1988,3
91,6.790370233544224,-7.861354001151593,1988,3
92,0.10344676659327696,-3.133092693582379,1988,1
93,1.594893714470096,-3.6437608815921547,1988,5
94,-0.5269051720715318,3.86084750300456,1988,1
95,-2.2262224345467256,5.602318915704203,1988,1
96,4.4732923834971645,-9.304310634684256,1988,3
97,-1.3455719794434837,4.187286788709063,1988,1
98,6.828422541174549,3.225204184874515,1988,3
99,-0.4490889844266081,3.6411454597770345,1988,9
100,1.3979136155439933,-3.982123724753674,1988,1
101,-2.515408278539349,5.499971067190225,1988,1
102,-5.114199552694947,6.376024392211145,1988,1
103,2.552542934709753,-5.753950173880538,1988,5
104,4.146396206423887,4.771622918051637,1988,5
105,-1.6043589727895595,-11.84815525798206,1988,1
106,-2.1091815990454843,7.09305271042733,1988,1
107,-1.9128693712877602,7.179052414243667,1988,1
108,4.825121241574376,-9.262807738595184,1988,3
109,-4.468436647280311,6.516083008119941,1988,1
110,-0.7050578073604321,4.305897207362224,1988,1
111,-0.2869600255004247,5.5487272185399465,1988,3
112,-2.9011871531862394,8.36596448632541,1988,1
113,-1.4879631300296623,-11.586986329154133,1988,1
114,-1.4463109478820741,-11.882250298446936,1988,1
115,-6.9654158894055005,-9.882999679696901,1988,3
116,-0.9317070702591771,6.43037616313798,1988,1
117,-1.3795335321383,-1.449931971894313,1988,1
118,-4.346881031744033,10.086265354887459,1988,1
119,-1.2273111245791812,7.82415719216573,1988,3
120,-0.7727185100386698,3.694753134094504,1988,1
121,4.572625220489736,-9.934861160983033,1988,3
122,3.0765210869367685,-0.39999080657710856,1988,9
123,8.871807679860373,2.924368080789041,1988,3
124,-1.6291785260954783,-11.728696666463707,1988,1
125,0.7823014731634546,7.436250418248258,1988,1
126,-6.806576562215857,-10.103343058706384,1988,3
127,9.078868481828248,1.1300305900877436,1988,3
128,-1.3703108951400518,-1.1412122990307687,1988,1
129,-4.528216260665452,9.903052312061053,1988,1
130,-1.810294694174699,-11.075203993582125,1988,1
131,-1.3246808102297118,-1.2546124610331897,1988,1
132,9.1632962008204,1.1654624173851156,1988,3
133,8.971693556811642,0.9100236270192839,1988,3
134,0.1460390028237418,-3.110680188233394,1988,1
135,-3.038538983917302,4.501180799390947,1988,1
136,-1.1920534187785008,-1.4926459435977453,1988,1
137,-1.7243992088163285,-11.237280351758356,1988,1
138,-0.49102060223925675,3.7356669163222818,1988,9
139,4.30437403721172,5.388641308748006,1988,5
140,-3.1857565677044546,8.867759109799014,1988,1
141,-6.2310090279246,7.048971533752696,1988,1
142,5.136946465729019,-5.710294828045237,1988,5
143,-2.883601077925401,7.33209911978353,1988,1
144,1.0490054309705579,2.1566737137310246,1988,9
145,-4.522064623215053,7.966128250852299,1988,1
146,4.479487822814774,-9.3372551563877,1988,3
147,9.112705747871193,2.7429027342431236,1988,5
148,5.576600027943026,-5.9978977838093614,1988,5
149,-0.9104725798891783,3.88061602026795,1988,9
150,-1.5298361260093911,6.169729951881066,1988,1
151,-1.667481236255975,-1.0571018031134336,1988,1
152,-1.4676804777415733,4.5866900251017055,1988,1
153,-1.64281947074394,-11.795358907617187,1988,1
154,-0.46460169991548034,5.359933967265281,1988,3
